Character,Birthplace,Children,Duration,Father,Gender,Mother,Number of appearances,Occupation,Played by,Residence,Sec,Sibling(s),Sic,Spouse(s),Born,Died,First appearance,Last appearance,Exit status,Exit date,Start date,Segment,Max segment
Todd Grimshaw,Salford,Billy Platt (2004),"2001-2004, 2007, 2011, 2013-2017, 2020 to present",Duncan,Male,Eileen Grimshaw,1253 (as of Episode 11557/8),Undertaker,Bruno Langley (2001-2017)Gareth Pierce (2020 to present),11 Coronation Street,Medium,Jason Grimshaw (half-brother),Other services,,1985-01-13,,2001-01-14,,Exit,2004-06-30,2001-01-14,1,3
Todd Grimshaw,Salford,Billy Platt (2004),"2001-2004, 2007, 2011, 2013-2017, 2020 to present",Duncan,Male,Eileen Grimshaw,1253 (as of Episode 11557/8),Undertaker,Bruno Langley (2001-2017)Gareth Pierce (2020 to present),11 Coronation Street,Medium,Jason Grimshaw (half-brother),Other services,,1985-01-13,,2001-01-14,,Exit,2017-06-30,2013-06-30,2,3
Todd Grimshaw,Salford,Billy Platt (2004),"2001-2004, 2007, 2011, 2013-2017, 2020 to present",Duncan,Male,Eileen Grimshaw,1253 (as of Episode 11557/8),Undertaker,Bruno Langley (2001-2017)Gareth Pierce (2020 to present),11 Coronation Street,Medium,Jason Grimshaw (half-brother),Other services,,1985-01-13,,2001-01-14,,Alive,2025-06-30,2020-06-30,3,3
Tom Ferguson,,,1999-2000,Duggie Ferguson,Male,Laura Ferguson,58,Hairdresser,Tom Wisdom,,Low,,Other services,,1980-07-10,,1999-03-03,2000-01-28,Exit,2000-01-28,1999-03-03,1,1
Tom Kerrigan,,,2008-2009,Brendan Kerrigan,Male,,69,Businessman,Philip McGinley,,High,,Financial & insurance activities,,1977-09-01,,2008-02-06,2009-04-24,Exit,2009-04-24,2008-02-06,1,1
Tommy Duckworth,"Weatherfield General, Weatherfield",,"1992-1993, 1994, 1995, 1996, 1997, 2000, 2011-2013",Terry Duckworth,Male,Lisa Duckworth,445,Mechanic,Darryl Edwards (1992-1997) Joseph Aston (2000) Chris Fountain (2011-2013),Canary Islands,Low,Paul Clayton (half-brother)  Brad Armstrong (half-brother),"Wholesale, retail & repair of motor vehicles",,1992-09-09,,1992-09-09,2013-10-13,Exit,1997-06-30,1992-09-09,1,2
Tommy Duckworth,"Weatherfield General, Weatherfield",,"1992-1993, 1994, 1995, 1996, 1997, 2000, 2011-2013",Terry Duckworth,Male,Lisa Duckworth,445,Mechanic,Darryl Edwards (1992-1997) Joseph Aston (2000) Chris Fountain (2011-2013),Canary Islands,Low,Paul Clayton (half-brother)  Brad Armstrong (half-brother),"Wholesale, retail & repair of motor vehicles",,1992-09-09,,1992-09-09,2013-10-13,Exit,2013-10-13,2011-06-30,2,2
Tommy Harris,Sheffield,Katy Harris (1986)  Craig Harris (1990),2002-2005,,Male,Jean Harris,238,Mechanic,Thomas Craig,,Low,,"Wholesale, retail & repair of motor vehicles",Angela Appleyard (1985),1964-01-08,2005-03-04,2002-11-13,2005-03-07,Death,2005-03-04,2002-11-13,1,1
Tony Gordon,Scotland,,2007-2010,,Male,,286,Businessman,Gray O'Brien,,High,Pat Gordon,Financial & insurance activities,Lindsey Gordon  Carla Connor (2008),1971-05-01,2010-06-01,2007-09-16,2010-06-09,Death,2010-06-01,2007-09-16,1,1
Tony Horrocks,,,"1995-1997, 1998",Nick Horrocks,Male,Natalie Barnes,97,Mechanic,Lee Warburton,,Low,Laura Barnes (half-sister),"Wholesale, retail & repair of motor vehicles",,1975-06-16,1999-02-06,1995-11-22,1998-12-11,Death,1999-02-06,1995-11-22,1,1
Tony Stewart,,Jason Grimshaw (1983),"2003, 2014-2015",,Male,Kitty Stewart,254,Electrician,Alan Igbon (2003)  Terence Maynard (2014-2015),,Low,a brother,Construction,,1966-03-14,2016-04-22,2003-03-02,2015-11-18,Exit,2003-06-30,2003-03-02,1,2
Tony Stewart,,Jason Grimshaw (1983),"2003, 2014-2015",,Male,Kitty Stewart,254,Electrician,Alan Igbon (2003)  Terence Maynard (2014-2015),,Low,a brother,Construction,,1966-03-14,2016-04-22,2003-03-02,2015-11-18,Death,2016-04-22,2014-06-30,2,2
Toyah Habeeb,Oldham,Rose Battersby (2001)  Unnamed stillborn son (2018),"1997-2003, 2016 to present",Ronnie Clegg,Female,Janice Battersby,1494 (as of Episode 11557/8),Counsellor  Waitress,Georgia Taylor,12 Victoria Court,Low,,Human health & social work activities,Toby Chapman (2011)  Imran Habeeb (2022),1982-05-28,,1997-07-04,,Exit,2003-06-30,1997-07-04,1,2
Toyah Habeeb,Oldham,Rose Battersby (2001)  Unnamed stillborn son (2018),"1997-2003, 2016 to present",Ronnie Clegg,Female,Janice Battersby,1494 (as of Episode 11557/8),Counsellor  Waitress,Georgia Taylor,12 Victoria Court,Low,,Human health & social work activities,Toby Chapman (2011)  Imran Habeeb (2022),1982-05-28,,1997-07-04,,Alive,2025-06-30,2016-06-30,2,2
Tracy McDonald,Weatherfield General,Amy Barlow (2004),"1977-1983, 1985-1995, 1996, 1997, 1999, 2002-2007, 2010 to present",Ray Langton (biological)Ken Barlow (adoptive),Female,Deirdre Barlow,2601 (as of Episode 11557/8),Manager of Preston's Petals,Christabel Finch (1977-1983)Holly Chamarette (1985-1988)Dawn Acton (1988-1999)Kate Ford (2002 to present),1 Coronation Street,Medium,Lawrence Cunningham (adoptive half-brother)Peter Barlow (adoptive half-brother)Susan Barlow (adoptive half-sister)Daniel Osbourne (adoptive half-brother)Unnamed stillborn half-brother,"Wholesale, retail & repair of motor vehicles","Robert Preston (1996)Roy Cropper (2003)Steve McDonald (2012, 2018)",1977-01-24,,1977-01-24,,Exit,1983-06-30,1977-01-24,1,4
Tracy McDonald,Weatherfield General,Amy Barlow (2004),"1977-1983, 1985-1995, 1996, 1997, 1999, 2002-2007, 2010 to present",Ray Langton (biological)Ken Barlow (adoptive),Female,Deirdre Barlow,2601 (as of Episode 11557/8),Manager of Preston's Petals,Christabel Finch (1977-1983)Holly Chamarette (1985-1988)Dawn Acton (1988-1999)Kate Ford (2002 to present),1 Coronation Street,Medium,Lawrence Cunningham (adoptive half-brother)Peter Barlow (adoptive half-brother)Susan Barlow (adoptive half-sister)Daniel Osbourne (adoptive half-brother)Unnamed stillborn half-brother,"Wholesale, retail & repair of motor vehicles","Robert Preston (1996)Roy Cropper (2003)Steve McDonald (2012, 2018)",1977-01-24,,1977-01-24,,Exit,1997-06-30,1985-06-30,2,4
Tracy McDonald,Weatherfield General,Amy Barlow (2004),"1977-1983, 1985-1995, 1996, 1997, 1999, 2002-2007, 2010 to present",Ray Langton (biological)Ken Barlow (adoptive),Female,Deirdre Barlow,2601 (as of Episode 11557/8),Manager of Preston's Petals,Christabel Finch (1977-1983)Holly Chamarette (1985-1988)Dawn Acton (1988-1999)Kate Ford (2002 to present),1 Coronation Street,Medium,Lawrence Cunningham (adoptive half-brother)Peter Barlow (adoptive half-brother)Susan Barlow (adoptive half-sister)Daniel Osbourne (adoptive half-brother)Unnamed stillborn half-brother,"Wholesale, retail & repair of motor vehicles","Robert Preston (1996)Roy Cropper (2003)Steve McDonald (2012, 2018)",1977-01-24,,1977-01-24,,Exit,2007-06-30,2002-06-30,3,4
Tracy McDonald,Weatherfield General,Amy Barlow (2004),"1977-1983, 1985-1995, 1996, 1997, 1999, 2002-2007, 2010 to present",Ray Langton (biological)Ken Barlow (adoptive),Female,Deirdre Barlow,2601 (as of Episode 11557/8),Manager of Preston's Petals,Christabel Finch (1977-1983)Holly Chamarette (1985-1988)Dawn Acton (1988-1999)Kate Ford (2002 to present),1 Coronation Street,Medium,Lawrence Cunningham (adoptive half-brother)Peter Barlow (adoptive half-brother)Susan Barlow (adoptive half-sister)Daniel Osbourne (adoptive half-brother)Unnamed stillborn half-brother,"Wholesale, retail & repair of motor vehicles","Robert Preston (1996)Roy Cropper (2003)Steve McDonald (2012, 2018)",1977-01-24,,1977-01-24,,Alive,2025-06-30,2010-06-30,4,4
Trevor Dean,,,"2010, 2011",,Male,,63,Bin man  Dishwasher  Factory worker,Steve Jackson,France,Low,,Manufacturing,,,,2010-01-28,2011-03-25,Exit,2011-03-25,2010-01-28,1,1
Tricia Armstrong,,Jamie Armstrong (1984)Brad Armstrong (1997),1994-1997,,Female,,193,Cleaner,Tracy Brabin,,Low,,Administrative & support services,Carl Armstrong,1960-02-22,,1994-03-07,1997-05-02,Exit,1997-05-02,1994-03-07,1,1
Tricia Hopkins,,,"1973, 1974-1976",Idris Hopkins,Female,Vera Hopkins,122,Shop worker,Kathy Jones,,Low,,"Wholesale, retail & repair of motor vehicles",,1957-03-05,,1973-09-24,1976-06-09,Exit,1976-06-09,1973-09-24,1,1
Tyrone Dobbs,Liverpool,Ruby Soames (2012)Dorin Pop (2022),1998 to present,,Male,Cassandra Plummer,2645 (as of Episode 11557/8),Co-owner of Websters' Auto Centre,Alan Halsall,9 Coronation Street,Medium,,"Wholesale, retail & repair of motor vehicles",Molly Compton (2009)Fiz Stape (2022),1982-12-17,,1998-11-30,,Alive,2025-06-30,1998-11-30,1,1
Umed Alahan,,,2009,,Male,,42,Shop owner,Harish Patel,India,Medium,Ranjiv Alahan,"Wholesale, retail & repair of motor vehicles",,,,2009-03-09,2009-10-16,Exit,2009-10-16,2009-03-09,1,1
Valerie Barlow,,Susan Barlow (1965)Peter Barlow (1965),"1961, 1962-1971",Alfred Tatlock,Female,Edith Tatlock,632,Hairdresser,Anne Reid,,Low,Joyce Tatlock (half-sister),Other services,Ken Barlow (1962),1942-11-26,1971-01-27,1961-08-07,1971-01-27,Death,1971-01-27,1961-08-07,1,1
Vera Duckworth,Manchester,Terry Duckworth (1964),"1974, 1976-2008",Joss Shackleton (unconfirmed),Female,Amy Burton,2275,Waitress (retired),Elizabeth Dawn,,Low,,Accommodation & food services,Jack Duckworth (1957),1937-09-03,2008-01-18,1974-08-19,2008-01-18,Exit,1974-08-20,1974-08-19,1,2
Vera Duckworth,Manchester,Terry Duckworth (1964),"1974, 1976-2008",Joss Shackleton (unconfirmed),Female,Amy Burton,2275,Waitress (retired),Elizabeth Dawn,,Low,,Accommodation & food services,Jack Duckworth (1957),1937-09-03,2008-01-18,1974-08-19,2008-01-18,Death,2008-01-18,1976-06-30,2,2
Vera Hopkins,,Tricia Hopkins (1957),"1973, 1974-1975",,Female,,31,Shopkeeper,Kathy Staff,,Low,,"Wholesale, retail & repair of motor vehicles",Idris Hopkins,1926-08-31,,1973-09-26,1975-02-10,Exit,1975-02-10,1973-09-26,1,1
Vernon Tomlin,,,2005-2008,,Male,,238,Musician,Ian Reddington,London,Medium,,Other services,Liz McDonald (2007),,,2005-12-02,2008-09-22,Exit,2008-09-22,2005-12-02,1,1
Vicky McDonald,,,"1990, 1991-1996, 1998",Tim Arden,Female,Sandra Arden,260,Wine bar proprietor,Helen Warburton (1990)  Chloe Newsome (1991-1998),Brighton,Medium,,Accommodation & food services,Steve McDonald (1995)Robert (1999),1977-01-08,,1990-01-05,1998-12-30,Exit,1996-06-30,1990-01-05,1,2
Vicky McDonald,,,"1990, 1991-1996, 1998",Tim Arden,Female,Sandra Arden,260,Wine bar proprietor,Helen Warburton (1990)  Chloe Newsome (1991-1998),Brighton,Medium,,Accommodation & food services,Steve McDonald (1995)Robert (1999),1977-01-08,,1990-01-05,1998-12-30,Exit,1998-12-30,1998-06-30,2,2
Vikram Desai,,,1999-2002,Ravi Desai,Male,,330,Shop assistant,Chris Bisson,,Low,Nita Desai,"Wholesale, retail & repair of motor vehicles",,1979-02-20,,1999-02-07,2002-12-18,Exit,2002-12-18,1999-02-07,1,1
Vinny Sorrell,,Lisa Scott (1981)  Laura Barnes (2001),1999-2000,,Male,,145,Barman,James Gaddas,,Low,,Accommodation & food services,,,,1999-08-02,2000-11-10,Exit,2000-11-10,1999-08-02,1,1
Violet Wilson,,Dylan Wilson (2008),"2004-2008, 2011, 2024",,Female,,491,Barmaid,Jenny Platt,"Clapham, London",Low,Lauren Wilson  a brother,Accommodation & food services,,1980-01-01,,2004-10-08,2024-04-10,Exit,2008-06-30,2004-10-08,1,2
Violet Wilson,,Dylan Wilson (2008),"2004-2008, 2011, 2024",,Female,,491,Barmaid,Jenny Platt,"Clapham, London",Low,Lauren Wilson  a brother,Accommodation & food services,,1980-01-01,,2004-10-08,2024-04-10,Exit,2024-04-10,2024-04-09,2,2
Warren Baldwin,,,"2004-2005, 2006",Danny Baldwin,Male,Frankie Baldwin,73,Footballer,Danny Young,Spain,Medium,Jamie Baldwin (half-brother),Other services,,1986-12-31,,2004-08-13,2006-11-22,Exit,2006-11-22,2004-08-13,1,1
Wiki Dankowska,,Jakub,2007-2009,,Female,,145,Factory worker,Wanda Opalinska,Poland,Low,,Manufacturing,,,,2007-03-02,2009-02-06,Exit,2009-02-06,2007-03-02,1,1
Yasmeen Metcalfe,Pakistan,Kal Nazir,2014-2025,,Female,,839,Charity worker,Shelley King,London,Low,,Other services,Sharif Nazir (1971)  Geoff Metcalfe (2019),1953-09-16,,2014-07-04,2025-03-10,Exit,2025-03-10,2014-07-04,1,1
Zeedan Nazir,,,"2014-2018, 2021-2023",Kal Nazir,Male,Jamila Nazir,420,Co-owner of Speed Daal Chef,Qasim Akhtar,London,Medium,Alya Nazir,Accommodation & food services,Rana Habeeb (2016)  Marrium Elamin (2020),1995-11-25,,2014-09-05,2023-02-20,Exit,2018-06-30,2014-09-05,1,2
Zeedan Nazir,,,"2014-2018, 2021-2023",Kal Nazir,Male,Jamila Nazir,420,Co-owner of Speed Daal Chef,Qasim Akhtar,London,Medium,Alya Nazir,Accommodation & food services,Rana Habeeb (2016)  Marrium Elamin (2020),1995-11-25,,2014-09-05,2023-02-20,Exit,2023-02-20,2021-06-30,2,2
Zoe Tattersall,Manchester,Shannon Tattersall (1997),1997-1998,,Female,,126,,Joanne Froggatt,America,,,,,1981-09-13,,1997-05-19,1998-12-16,Exit,1998-12-16,1997-05-19,1,1
